Frequenz;Kanal B;Invertieren A
(ms);(V);(mV)

0,00000000;0,68050170;∞
0,04096000;0,68050170;∞
0,08192000;0,68050170;∞
0,12288000;0,69893490;∞
0,16384000;0,68050170;∞
0,20480000;0,68050170;∞
0,24576000;0,69893490;∞
0,28672000;0,68050170;∞
0,32768000;0,68050170;∞
0,36864000;0,68050170;∞
0,40960000;0,69893490;∞
0,45056000;0,68050170;∞
0,49152000;0,69893490;∞
0,53248000;0,68050170;∞
0,57344000;0,68050170;∞
0,61440000;0,68050170;∞
0,65536000;0,68050170;∞
0,69632000;0,69893490;∞
0,73728000;0,68050170;∞
0,77824000;0,68050170;∞
0,81920000;0,68050170;∞
0,86015999;0,68050170;∞
0,90111999;0,68050170;∞
0,94207999;0,68050170;∞
0,98303999;0,68050170;∞
1,02399999;0,68050170;∞
1,06495999;0,68050170;∞
1,10591999;0,68050170;∞
1,14687999;0,68050170;∞
1,18783999;0,68050170;∞
1,22879999;0,68050170;∞
1,26975999;0,66212960;∞
1,31071999;0,68050170;∞
1,35167999;0,68050170;∞
1,39263999;0,66212960;∞
1,43359999;0,66212960;∞
1,47455999;0,66212960;∞
1,51551999;0,66212960;∞
1,55647999;0,66212960;49,10886000
1,59743999;0,66212960;47,28538000
1,63839999;0,66212960;43,18217000
1,67935999;0,64375750;43,18217000
1,72031999;0,66212960;33,15378000
1,76127999;0,62532420;34,06476000
1,80223999;0,64375750;32,24128000
1,84319999;0,62532420;29,05057000
1,88415999;0,62532420;24,94736000
1,92511999;0,62532420;23,12387000
1,96607999;0,62532420;19,47691000
2,00703999;0,62532420;14,46119000
2,04799999;0,60695210;9,90173100
2,08895999;0,60695210;6,71102000
2,12991999;0,60695210;2,60780700
2,17087999;0,58851890;-0,12665180
2,21183999;0,58851890;-4,22833900
2,25279999;0,58851890;-8,33155300
2,29375999;0,57014680;-12,89102000
2,33471999;0,57014680;-17,44896000
2,37567999;0,55177460;-20,18494000
2,41663999;0,53334150;-24,74441000
2,45759999;0,49659720;-27,02414000
2,49855998;0,05511643;-30,21485000
2,53951998;0,05511643;-28,39137000
2,58047998;0,16547140;-29,30235000
2,62143998;0,18384350;-30,21485000
2,66239998;0,09192175;-29,30235000
2,70335998;0,03674429;-29,30235000
2,74431998;-0,00006104;-28,39137000
2,78527998;-0,01843318;-31,58208000
2,82623998;-0,03686636;-29,30235000
2,86719998;-0,07367168;-28,39137000
2,90815998;-0,09204382;-29,30235000
2,94911998;-0,12884910;-29,30235000
2,99007998;-0,16565450;-31,12583000
3,03103998;-0,18402660;-28,39137000
3,07199998;-0,22083190;-29,75860000
3,11295998;-0,25757620;-27,47886000
3,15391998;-0,27600940;-29,30235000
3,19487998;-0,29438150;-29,75860000
3,23583998;-0,33118690;-29,30235000
3,27679998;-0,34955900;-28,84762000
3,31775998;-0,38636430;-26,11164000
3,35871998;-0,42316960;-27,02414000
3,39967998;-0,44154180;-27,47886000
3,44063998;-0,45997500;-28,39137000
3,48159998;-0,49678030;-27,47886000
3,52255998;-0,51515250;-28,39137000
3,56351998;-0,55195780;-29,75860000
3,60447998;-0,57032990;-24,74441000
3,64543998;-0,60713520;-30,21485000
3,68639998;-0,62550740;-29,75860000
3,72735998;-0,62550740;-27,47886000
3,76831998;-0,66231270;-27,47886000
3,80927998;-0,68068480;-28,84762000
3,85023998;-0,69911800;-29,75860000
3,89119998;-0,71749010;-24,74441000
3,93215998;-0,75429550;-27,93512000
3,97311998;-0,75429550;-27,93512000
4,01407998;-0,77266760;-27,47886000
4,05503998;-0,79110080;-28,39137000
4,09599998;-0,80947290;-26,11164000
4,13695997;-0,80947290;-27,93512000
4,17791997;-0,84627830;-27,47886000
4,21887997;-0,86465040;-28,84762000
4,25983997;-0,86465040;-27,93512000
4,30079997;-0,90145580;-29,30235000
4,34175997;-0,90145580;-27,93512000
4,38271997;-0,91988890;-29,30235000
4,42367997;-0,91988890;-26,56789000
4,46463997;-0,95663320;-22,46467000
4,50559997;-0,95663320;-28,39137000
4,54655997;-0,95663320;-27,47886000
4,58751997;-0,95663320;-29,30235000
4,62847997;-0,99343850;-28,39137000
4,66943997;-0,99343850;-26,56789000
4,71039997;-0,99343850;-27,47886000
4,75135997;-0,99343850;-27,93512000
4,79231997;-1,01187200;-27,93512000
4,83327997;-1,01187200;-27,47886000
4,87423997;-1,01187200;-29,30235000
4,91519997;-1,01187200;-27,93512000
4,95615997;-1,03024400;-27,02414000
4,99711997;-1,03024400;-27,47886000
5,03807997;-1,03024400;-29,30235000
5,07903997;-1,03024400;-27,47886000
5,11999997;-1,03024400;-25,65539000
5,16095997;-1,03024400;-27,93512000
5,20191997;-1,03024400;-30,21485000
5,24287997;-1,01187200;-27,47886000
5,28383997;-1,01187200;-29,30235000
5,32479997;-1,01187200;-27,93512000
5,36575997;-1,01187200;-29,30235000
5,40671997;-1,01187200;-29,30235000
5,44767997;-0,99343850;-29,75860000
5,48863997;-0,99343850;-26,56789000
5,52959997;-0,97506640;-28,39137000
5,57055997;-0,97506640;-27,93512000
5,61151997;-0,95663320;-27,93512000
5,65247997;-0,93826100;-27,47886000
5,69343997;-0,93826100;-27,93512000
5,73439997;-0,91988890;-29,75860000
5,77535996;-0,91988890;-27,47886000
5,81631996;-0,90145580;-27,02414000
5,85727996;-0,88308360;-27,93512000
5,89823996;-0,86465040;-28,39137000
5,93919996;-0,84627830;-27,47886000
5,98015996;-0,84627830;-27,47886000
6,02111996;-0,80947290;-27,47886000
6,06207996;-0,80947290;-27,47886000
6,10303996;-0,79110080;-27,47886000
6,14399996;-0,75429550;-29,30235000
6,18495996;-0,75429550;-28,39137000
6,22591996;-0,73592330;-29,30235000
6,26687996;-0,71749010;-26,56789000
6,30783996;-0,69911800;-25,65539000
6,34879996;-0,66231270;-24,74441000
6,38975996;-0,64394060;-27,47886000
6,43071996;-0,62550740;-28,39137000
6,47167996;-0,60713520;-28,39137000
6,51263996;-0,58876310;-28,39137000
6,55359996;-0,55195780;-28,39137000
6,59455996;-0,53352460;-29,75860000
6,63551996;-0,51515250;-27,02414000
6,67647996;-0,47834710;-25,19913000
6,71743996;-0,45997500;-29,30235000
6,75839996;-0,42316960;-28,84762000
6,79935996;-0,40479750;-27,93512000
6,84031996;-0,36799220;-26,56789000
6,88127996;-0,33118690;-28,39137000
6,92223996;-0,31281470;-29,75860000
6,96319996;-0,29438150;-27,02414000
7,00415996;-0,25757620;-28,84762000
7,04511996;-0,23920410;-25,65539000
7,08607996;-0,20239870;-27,47886000
7,12703996;-0,18402660;-28,39137000
7,16799996;-0,14722130;-26,56789000
7,20895996;-0,12884910;-29,30235000
7,24991996;-0,11041600;-27,47886000
7,29087996;-0,07367168;-27,93512000
7,33183996;-0,03686636;-28,39137000
7,37279996;-0,00006104;-26,11164000
7,41375995;0,03674429;-29,30235000
7,45471995;0,05511643;-27,02414000
7,49567995;0,09192175;-26,11164000
7,53663995;0,11029390;-27,93512000
7,57759995;0,14709920;-27,93512000
7,61855995;0,18384350;-28,84762000
7,65951995;0,18384350;-27,02414000
7,70047995;0,23902100;-27,93512000
7,74143995;0,27582630;-27,47886000
7,78239995;0,27582630;-27,47886000
7,82335995;0,33100380;-27,47886000
7,86431995;0,36780910;-27,02414000
7,90527995;0,38618120;-27,47886000
7,94623995;0,40461440;-26,56789000
7,98719995;0,44135870;-27,47886000
8,02815995;0,45979190;-29,30235000
8,06911995;0,47816400;-26,56789000
8,11007995;0,49659720;-27,47886000
8,15103995;0,51496930;-27,47886000
8,19199995;0,53334150;-27,93512000
8,23295995;0,55177460;-26,56789000
8,27391995;0,55177460;-25,65539000
