Frequenz;Kanal B;Invertieren A
(ms);(V);(mV)

0,00000000;0,58851890;54,28022000
0,04096000;0,60695210;57,89972000
0,08192000;0,60695210;61,51921000
0,12288000;0,58851890;63,33201000
0,16384000;0,58851890;66,95150000
0,20480000;0,58851890;68,75820000
0,24576000;0,58851890;70,57100000
0,28672000;0,60695210;72,38380000
0,32768000;0,60695210;74,19049000
0,36864000;0,60695210;76,00330000
0,40960000;0,60695210;79,62280000
0,45056000;0,60695210;79,62280000
0,49152000;0,60695210;83,24229000
0,53248000;0,60695210;85,04898000
0,57344000;0,60695210;85,04898000
0,61440000;0,62532420;86,86178000
0,65536000;0,60695210;86,86178000
0,69632000;0,60695210;90,48128000
0,73728000;0,62532420;92,29408000
0,77824000;0,60695210;92,29408000
0,81920000;0,60695210;94,10077000
0,86015999;0,60695210;94,10077000
0,90111999;0,60695210;94,10077000
0,94207999;0,60695210;95,91357000
0,98303999;0,60695210;94,10077000
1,02399999;0,60695210;94,10077000
1,06495999;0,60695210;94,10077000
1,10591999;0,62532420;97,72027000
1,14687999;0,62532420;97,72027000
1,18783999;0,60695210;95,91357000
1,22879999;0,60695210;94,10077000
1,26975999;0,60695210;97,72027000
1,31071999;0,60695210;94,10077000
1,35167999;0,60695210;95,91357000
1,39263999;0,60695210;94,10077000
1,43359999;0,60695210;94,10077000
1,47455999;0,60695210;92,29408000
1,51551999;0,60695210;90,48128000
1,55647999;0,60695210;90,48128000
1,59743999;0,60695210;86,86178000
1,63839999;0,60695210;86,86178000
1,67935999;0,60695210;86,86178000
1,72031999;0,60695210;83,24229000
1,76127999;0,60695210;79,62280000
1,80223999;0,60695210;81,42948000
1,84319999;0,58851890;77,80999000
1,88415999;0,58851890;77,80999000
1,92511999;0,58851890;72,38380000
1,96607999;0,60695210;70,57100000
2,00703999;0,58851890;68,75820000
2,04799999;0,58851890;66,95150000
2,08895999;0,58851890;63,33201000
2,12991999;0,57014680;61,51921000
2,17087999;0,58851890;57,89972000
2,21183999;0,57014680;54,28022000
2,25279999;0,57014680;50,66072000
2,29375999;0,57014680;48,84793000
2,33471999;0,57014680;43,42173000
2,37567999;0,57014680;41,60894000
2,41663999;0,57014680;37,98944000
2,45759999;0,57014680;34,36994000
2,49855998;0,55177460;32,55715000
2,53951998;0,55177460;27,12485000
2,58047998;0,53334150;23,50535000
2,62143998;0,55177460;19,88586000
2,66239998;0,53334150;14,45967000
2,70335998;0,53334150;10,83407000
2,74431998;0,53334150;7,21457600
2,78527998;0,51496930;3,59508000
2,82623998;0,51496930;-1,83721400
2,86719998;0,51496930;-7,26340500
2,90815998;0,51496930;-9,07620400
2,94911998;0,49659720;-14,50239000
2,99007998;0,47816400;-18,12189000
3,03103998;0,47816400;-21,74138000
3,07199998;0,47816400;-25,36088000
3,11295998;0,45979190;-28,98038000
3,15391998;0,42298650;-34,41267000
3,19487998;0,36780910;-38,03217000
3,23583998;0,16547140;-36,21937000
3,27679998;-0,03686636;-38,03217000
3,31775998;0,01831111;-38,03217000
3,35871998;-0,00006104;-36,21937000
3,39967998;-0,01843318;-39,83886000
3,44063998;-0,05523850;-38,03217000
3,48159998;-0,07367168;-36,21937000
3,52255998;-0,12884910;-38,03217000
3,56351998;-0,16565450;-36,21937000
3,60447998;-0,18402660;-36,21937000
3,64543998;-0,20239870;-36,21937000
3,68639998;-0,25757620;-38,03217000
3,72735998;-0,27600940;-36,21937000
3,76831998;-0,27600940;-36,21937000
3,80927998;-0,31281470;-36,21937000
3,85023998;-0,34955900;-36,21937000
3,89119998;-0,36799220;-34,41267000
3,93215998;-0,40479750;-38,03217000
3,97311998;-0,44154180;-38,03217000
4,01407998;-0,45997500;-39,83886000
4,05503998;-0,47834710;-36,21937000
4,09599998;-0,47834710;-38,03217000
4,13695997;-0,53352460;-36,21937000
4,17791997;-0,57032990;-38,03217000
4,21887997;-0,57032990;-36,21937000
4,25983997;-0,58876310;-38,03217000
4,30079997;-0,60713520;-36,21937000
4,34175997;-0,66231270;-36,21937000
4,38271997;-0,66231270;-38,03217000
4,42367997;-0,68068480;-36,21937000
4,46463997;-0,69911800;-38,03217000
4,50559997;-0,71749010;-34,41267000
4,54655997;-0,73592330;-38,03217000
4,58751997;-0,75429550;-36,21937000
4,62847997;-0,77266760;-38,03217000
4,66943997;-0,79110080;-38,03217000
4,71039997;-0,79110080;-36,21937000
4,75135997;-0,82790610;-38,03217000
4,79231997;-0,84627830;-36,21937000
4,83327997;-0,86465040;-38,03217000
4,87423997;-0,88308360;-38,03217000
4,91519997;-0,88308360;-36,21937000
4,95615997;-0,88308360;-38,03217000
4,99711997;-0,90145580;-36,21937000
5,03807997;-0,91988890;-36,21937000
5,07903997;-0,91988890;-36,21937000
5,11999997;-0,91988890;-38,03217000
5,16095997;-0,93826100;-34,41267000
5,20191997;-0,91988890;-36,21937000
5,24287997;-0,93826100;-36,21937000
5,28383997;-0,95663320;-36,21937000
5,32479997;-0,95663320;-38,03217000
5,36575997;-0,97506640;-36,21937000
5,40671997;-0,97506640;-36,21937000
5,44767997;-0,95663320;-36,21937000
5,48863997;-0,95663320;-36,21937000
5,52959997;-0,95663320;-36,21937000
5,57055997;-0,95663320;-30,79317000
5,61151997;-0,95663320;-34,41267000
5,65247997;-0,99343850;-38,03217000
5,69343997;-0,99343850;-38,03217000
5,73439997;-0,97506640;-34,41267000
5,77535996;-0,97506640;-34,41267000
5,81631996;-0,97506640;-36,21937000
5,85727996;-0,97506640;-34,41267000
5,89823996;-0,91988890;-36,21937000
5,93919996;-0,93826100;-38,03217000
5,98015996;-0,93826100;-36,21937000
6,02111996;-0,91988890;-36,21937000
6,06207996;-0,91988890;-38,03217000
6,10303996;-0,91988890;-36,21937000
6,14399996;-0,91988890;-36,21937000
6,18495996;-0,88308360;-28,98038000
6,22591996;-0,90145580;-36,21937000
6,26687996;-0,88308360;-36,21937000
6,30783996;-0,84627830;-34,41267000
6,34879996;-0,84627830;-34,41267000
6,38975996;-0,82790610;-32,59987000
6,43071996;-0,82790610;-34,41267000
6,47167996;-0,80947290;-36,21937000
6,51263996;-0,79110080;-34,41267000
6,55359996;-0,79110080;-36,21937000
6,59455996;-0,75429550;-36,21937000
6,63551996;-0,71749010;-38,03217000
6,67647996;-0,69911800;-36,21937000
6,71743996;-0,68068480;-34,41267000
6,75839996;-0,66231270;-34,41267000
6,79935996;-0,66231270;-36,21937000
6,84031996;-0,64394060;-36,21937000
6,88127996;-0,60713520;-34,41267000
6,92223996;-0,57032990;-36,21937000
6,96319996;-0,57032990;-34,41267000
7,00415996;-0,57032990;-36,21937000
7,04511996;-0,51515250;-36,21937000
7,08607996;-0,47834710;-38,03217000
7,12703996;-0,45997500;-36,21937000
7,16799996;-0,45997500;-36,21937000
7,20895996;-0,40479750;-38,03217000
7,24991996;-0,40479750;-36,21937000
7,29087996;-0,36799220;-38,03217000
7,33183996;-0,33118690;-36,21937000
7,37279996;-0,31281470;-36,21937000
7,41375995;-0,27600940;-36,21937000
7,45471995;-0,25757620;-32,59987000
7,49567995;-0,23920410;-36,21937000
7,53663995;-0,22083190;-36,21937000
7,57759995;-0,18402660;-36,21937000
7,61855995;-0,14722130;-36,21937000
7,65951995;-0,12884910;-36,21937000
7,70047995;-0,09204382;-36,21937000
7,74143995;-0,05523850;-32,59987000
7,78239995;-0,03686636;-36,21937000
7,82335995;-0,00006104;-36,21937000
7,86431995;0,03674429;-36,21937000
7,90527995;0,05511643;-34,41267000
7,94623995;0,09192175;-34,41267000
7,98719995;0,12872710;-36,21937000
8,02815995;0,14709920;-34,41267000
8,06911995;0,16547140;-36,21937000
