Frequenz;Kanal B;Invertieren A
(ms);(V);(V)

0,00000000;10,08759000;0,00912503
0,00256000;10,08759000;0,00912503
0,00512000;10,26887000;0,00912503
0,00768000;10,26887000;0,01815851
0,01024000;10,08759000;0,01815851
0,01280000;10,26887000;0,00912503
0,01536000;10,26887000;0,00009156
0,01792000;10,26887000;0,00912503
0,02048000;10,26887000;0,01815851
0,02304000;10,26887000;0,01815851
0,02560000;10,26887000;0,00912503
0,02816000;10,26887000;0,01815851
0,03072000;10,26887000;0,00912503
0,03328000;10,26887000;0,01815851
0,03584000;10,26887000;0,00912503
0,03840000;10,26887000;0,00912503
0,04096000;10,45015000;0,00912503
0,04352000;10,26887000;0,01815851
0,04608000;10,45015000;0,00912503
0,04864000;10,45015000;0,00009156
0,05120000;10,45015000;0,00009156
0,05376000;10,45015000;0,01815851
0,05632000;10,63143000;0,01815851
0,05888000;10,45015000;0,01815851
0,06144000;10,45015000;0,01815851
0,06400000;10,63143000;0,00912503
0,06656000;10,63143000;0,01815851
0,06912000;10,63143000;0,01815851
0,07168000;10,63143000;0,01815851
0,07424000;10,63143000;0,01815851
0,07680000;10,63143000;0,00912503
0,07936000;10,63143000;0,01815851
0,08192000;10,63143000;0,01815851
0,08448000;10,63143000;0,01815851
0,08704000;10,63143000;0,01815851
0,08960000;10,63143000;0,01815851
0,09216000;10,63143000;0,01815851
0,09472000;10,63143000;0,00912503
0,09728000;10,63143000;0,01815851
0,09984000;10,81210000;0,00912503
0,10240000;10,81210000;0,01815851
0,10496000;10,81210000;0,01815851
0,10752000;10,81210000;0,01815851
0,11008000;10,81210000;0,01815851
0,11264000;10,81210000;0,01815851
0,11520000;10,81210000;0,01815851
0,11776000;10,81210000;0,01815851
0,12032000;10,81210000;0,01815851
0,12288000;10,81210000;0,01815851
0,12544000;10,81210000;0,01815851
0,12800000;10,81210000;0,00912503
0,13056000;10,81210000;0,01815851
0,13312000;10,81210000;0,01815851
0,13568000;10,81210000;0,01815851
0,13824000;10,81210000;0,01815851
0,14080000;10,81210000;0,01815851
0,14336000;10,99338000;0,01815851
0,14592000;10,99338000;0,02722251
0,14848000;10,81210000;0,01815851
0,15104000;10,81210000;0,01815851
0,15360000;10,81210000;0,01815851
0,15616000;10,99338000;0,01815851
0,15872000;10,99338000;0,01815851
0,16128000;10,99338000;0,02722251
0,16384000;10,99338000;0,02722251
0,16640000;10,99338000;0,02722251
0,16896000;10,99338000;0,01815851
0,17152000;10,99338000;0,02722251
0,17408000;10,99338000;0,02722251
0,17664000;10,99338000;0,02722251
0,17920000;10,99338000;0,02722251
0,18176000;10,99338000;0,02722251
0,18432000;10,99338000;0,02722251
0,18688000;10,99338000;0,02722251
0,18944000;10,99338000;0,02722251
0,19200000;10,99338000;0,02722251
0,19456000;10,99338000;0,02722251
0,19712000;11,17466000;0,02722251
0,19968000;11,17466000;0,01815851
0,20224000;10,99338000;0,02722251
0,20480000;11,17466000;0,02722251
0,20736000;11,17466000;0,02722251
0,20992000;11,17466000;0,02722251
0,21248000;11,17466000;0,02722251
0,21504000;11,17466000;0,02722251
0,21760000;11,17466000;0,02722251
0,22016000;11,17466000;0,02722251
0,22272000;11,17466000;0,02722251
0,22528000;11,17466000;0,03625599
0,22784000;11,17466000;0,02722251
0,23040000;11,17466000;0,02722251
0,23296000;11,17466000;0,02722251
0,23552000;11,17466000;0,02722251
0,23808000;11,17466000;0,02722251
0,24064000;11,17466000;0,02722251
0,24320000;11,17466000;0,02722251
0,24576000;11,35594000;0,02722251
0,24832000;11,17466000;0,03625599
0,25088000;11,35594000;0,03625599
0,25344000;11,35594000;0,03625599
0,25600000;11,35594000;0,03625599
0,25856000;11,35594000;0,03625599
0,26112000;11,35594000;0,03625599
0,26368000;11,35594000;0,03625599
0,26624000;11,35594000;0,03625599
0,26880000;11,35594000;0,03625599
0,27136000;11,35594000;0,03625599
0,27392000;11,35594000;0,03625599
0,27648000;11,35594000;0,03625599
0,27904000;11,35594000;0,03625599
0,28160000;11,35594000;0,03625599
0,28416000;11,35594000;0,03625599
0,28672000;11,35594000;0,03625599
0,28928000;11,53661000;0,03625599
0,29184000;11,35594000;0,03625599
0,29440000;11,35594000;0,03625599
0,29696000;11,35594000;0,04531999
0,29952000;11,53661000;0,03625599
0,30208000;11,35594000;0,03625599
0,30464000;11,53661000;0,04531999
0,30720000;11,35594000;0,04531999
0,30976000;11,53661000;0,03625599
0,31232000;11,53661000;0,04531999
0,31488000;11,53661000;0,04531999
0,31744000;11,53661000;0,04531999
0,32000000;11,35594000;0,04531999
