Frequenz;Kanal B;Invertieren A
(ms);(V);(V)

0.00000000;1.96081400;0.87850580
0.00256000;1.91518900;0.87850580
0.00512000;1.91518900;0.87850580
0.00768000;1.86956400;0.87850580
0.01024000;1.86956400;0.87850580
0.01280000;1.91518900;0.87850580
0.01536000;1.86956400;0.87850580
0.01792000;1.91518900;0.87850580
0.02048000;1.96081400;0.87850580
0.02304000;1.91518900;0.87850580
0.02560000;1.86956400;0.87850580
0.02816000;1.96081400;0.87850580
0.03072000;1.96081400;0.87850580
0.03328000;1.86956400;0.87850580
0.03584000;1.91518900;0.87850580
0.03840000;1.86956400;0.87850580
0.04096000;1.86956400;0.87850580
0.04352000;1.91518900;0.87850580
0.04608000;1.96081400;0.89681690
0.04864000;1.91518900;0.89681690
0.05120000;1.91518900;0.89681690
0.05376000;1.91518900;0.87850580
0.05632000;1.96081400;0.89681690
0.05888000;1.91518900;0.89681690
0.06144000;1.91518900;0.89681690
0.06400000;1.91518900;0.89681690
0.06656000;1.86956400;0.91512810
0.06912000;1.91518900;0.89681690
0.07168000;1.91518900;0.91512810
0.07424000;1.86956400;0.91512810
0.07680000;1.91518900;0.91512810
0.07936000;1.86956400;0.91512810
0.08192000;1.91518900;0.91512810
0.08448000;1.86956400;0.91512810
0.08704000;1.96081400;0.91512810
0.08960000;1.86956400;0.91512810
0.09216000;1.91518900;0.91512810
0.09472000;1.91518900;0.91512810
0.09728000;1.86956400;0.91512810
0.09984000;1.91518900;0.91512810
0.10240000;1.96081400;0.91512810
0.10496000;1.91518900;0.91512810
0.10752000;1.91518900;0.91512810
0.11008000;1.91518900;0.91512810
0.11264000;1.96081400;0.93343910
0.11520000;1.91518900;0.93343910
0.11776000;1.86956400;0.93343910
0.12032000;1.91518900;0.93343910
0.12288000;1.86956400;0.93343910
0.12544000;1.86956400;0.93343910
0.12800000;1.96081400;0.93343910
0.13056000;1.86956400;0.93343910
0.13312000;1.91518900;0.93343910
0.13568000;1.91518900;0.93343910
0.13824000;1.91518900;0.93343910
0.14080000;1.91518900;0.93343910
0.14336000;1.96081400;0.93343910
0.14592000;1.96081400;0.95175020
0.14848000;1.91518900;0.93343910
0.15104000;1.91518900;0.95175020
0.15360000;1.91518900;0.95175020
0.15616000;1.96081400;0.93343910
0.15872000;1.96081400;0.95175020
0.16128000;1.91518900;0.95175020
0.16384000;1.91518900;0.95175020
0.16640000;1.96081400;0.95175020
0.16896000;1.86956400;0.95175020
0.17152000;1.91518900;0.95175020
0.17408000;1.91518900;0.95175020
0.17664000;1.91518900;0.95175020
0.17920000;1.96081400;0.95175020
0.18176000;1.91518900;0.95175020
0.18432000;1.86956400;0.95175020
0.18688000;1.96081400;0.95175020
0.18944000;1.91518900;0.95175020
0.19200000;1.91518900;0.95175020
0.19456000;1.86956400;0.95175020
0.19712000;1.91518900;0.95175020
0.19968000;1.91518900;0.95175020
0.20224000;1.91518900;0.95175020
0.20480000;1.91518900;0.95175020
0.20736000;1.91518900;0.95175020
0.20992000;1.91518900;0.95175020
0.21248000;1.91518900;0.95175020
0.21504000;1.86956400;0.97006140
0.21760000;1.91518900;0.97006140
0.22016000;1.91518900;0.95175020
0.22272000;1.91518900;0.95175020
0.22528000;1.91518900;0.97006140
0.22784000;1.91518900;0.97006140
0.23040000;1.91518900;0.97006140
0.23296000;1.91518900;0.98837240
0.23552000;1.91518900;0.97006140
0.23808000;1.96081400;0.97006140
0.24064000;1.86956400;0.97006140
0.24320000;1.86956400;0.97006140
0.24576000;1.86956400;0.97006140
0.24832000;1.86956400;0.97006140
0.25088000;1.91518900;0.98837240
0.25344000;1.91518900;0.97006140
0.25600000;1.91518900;0.97006140
0.25856000;1.91518900;0.98837240
0.26112000;1.91518900;0.98837240
0.26368000;1.96081400;0.98837240
0.26624000;1.91518900;0.98837240
0.26880000;1.91518900;0.98837240
0.27136000;1.91518900;0.98837240
0.27392000;1.91518900;0.98837240
0.27648000;1.91518900;0.98837240
0.27904000;1.96081400;0.98837240
0.28160000;1.91518900;0.98837240
0.28416000;1.96081400;0.98837240
0.28672000;1.91518900;0.98837240
0.28928000;1.91518900;0.98837240
0.29184000;1.86956400;0.98837240
0.29440000;1.91518900;0.98837240
0.29696000;1.91518900;0.98837240
0.29952000;1.91518900;0.98837240
0.30208000;1.96081400;1.00668400
0.30464000;1.96081400;1.00668400
0.30720000;1.91518900;1.00668400
0.30976000;1.96081400;0.98837240
0.31232000;1.96081400;1.00668400
0.31488000;1.91518900;0.98837240
0.31744000;1.91518900;1.00668400
0.32000000;1.91518900;1.00668400
