Frequenz;Kanal B;Invertieren A
(ms);(V);(V)

0,00000000;3,54197800;1,75817100
0,00256000;3,54197800;1,75817100
0,00512000;3,54197800;1,75817100
0,00768000;3,54197800;1,80333900
0,01024000;3,54197800;1,75817100
0,01280000;3,54197800;1,75817100
0,01536000;3,54197800;1,75817100
0,01792000;3,54197800;1,75817100
0,02048000;3,54197800;1,75817100
0,02304000;3,54197800;1,75817100
0,02560000;3,54197800;1,75817100
0,02816000;3,54197800;1,80333900
0,03072000;3,54197800;1,75817100
0,03328000;3,54197800;1,80333900
0,03584000;3,54197800;1,75817100
0,03840000;3,54197800;1,80333900
0,04096000;3,54197800;1,80333900
0,04352000;3,54197800;1,80333900
0,04608000;3,54197800;1,80333900
0,04864000;3,54197800;1,80333900
0,05120000;3,54197800;1,80333900
0,05376000;3,54197800;1,80333900
0,05632000;3,54197800;1,80333900
0,05888000;3,54197800;1,80333900
0,06144000;3,54197800;1,80333900
0,06400000;3,54197800;1,80333900
0,06656000;3,54197800;1,80333900
0,06912000;3,54197800;1,80333900
0,07168000;3,54197800;1,80333900
0,07424000;3,54197800;1,80333900
0,07680000;3,54197800;1,80333900
0,07936000;3,54197800;1,80333900
0,08192000;3,45103300;1,84835400
0,08448000;3,54197800;1,80333900
0,08704000;3,54197800;1,80333900
0,08960000;3,54197800;1,80333900
0,09216000;3,54197800;1,84835400
0,09472000;3,54197800;1,80333900
0,09728000;3,54197800;1,84835400
0,09984000;3,54197800;1,80333900
0,10240000;3,54197800;1,80333900
0,10496000;3,54197800;1,84835400
0,10752000;3,54197800;1,84835400
0,11008000;3,45103300;1,80333900
0,11264000;3,54197800;1,89336800
0,11520000;3,54197800;1,84835400
0,11776000;3,54197800;1,80333900
0,12032000;3,54197800;1,80333900
0,12288000;3,54197800;1,84835400
0,12544000;3,54197800;1,89336800
0,12800000;3,54197800;1,84835400
0,13056000;3,45103300;1,84835400
0,13312000;3,54197800;1,84835400
0,13568000;3,54197800;1,89336800
0,13824000;3,54197800;1,84835400
0,14080000;3,54197800;1,89336800
0,14336000;3,54197800;1,84835400
0,14592000;3,54197800;1,89336800
0,14848000;3,54197800;1,89336800
0,15104000;3,54197800;1,89336800
0,15360000;3,54197800;1,89336800
0,15616000;3,54197800;1,84835400
0,15872000;3,54197800;1,89336800
0,16128000;3,54197800;1,89336800
0,16384000;3,54197800;1,89336800
0,16640000;3,54197800;1,89336800
0,16896000;3,54197800;1,89336800
0,17152000;3,45103300;1,89336800
0,17408000;3,54197800;1,89336800
0,17664000;3,54197800;1,89336800
0,17920000;3,54197800;1,89336800
0,18176000;3,54197800;1,84835400
0,18432000;3,54197800;1,89336800
0,18688000;3,54197800;1,89336800
0,18944000;3,54197800;1,89336800
0,19200000;3,54197800;1,89336800
0,19456000;3,54197800;1,89336800
0,19712000;3,54197800;1,89336800
0,19968000;3,54197800;1,93853600
0,20224000;3,54197800;1,89336800
0,20480000;3,54197800;1,93853600
0,20736000;3,54197800;1,93853600
0,20992000;3,54197800;1,89336800
0,21248000;3,54197800;1,93853600
0,21504000;3,54197800;1,93853600
0,21760000;3,54197800;1,93853600
0,22016000;3,54197800;1,93853600
0,22272000;3,54197800;1,93853600
0,22528000;3,54197800;1,93853600
0,22784000;3,54197800;1,93853600
0,23040000;3,54197800;1,93853600
0,23296000;3,54197800;1,93853600
0,23552000;3,54197800;1,93853600
0,23808000;3,54197800;1,93853600
0,24064000;3,54197800;1,93853600
0,24320000;3,45103300;1,93853600
0,24576000;3,45103300;1,93853600
0,24832000;3,54197800;1,93853600
0,25088000;3,54197800;1,93853600
0,25344000;3,54197800;1,93853600
0,25600000;3,54197800;1,98355100
0,25856000;3,54197800;1,98355100
0,26112000;3,54197800;1,93853600
0,26368000;3,45103300;1,93853600
0,26624000;3,54197800;1,93853600
0,26880000;3,54197800;1,98355100
0,27136000;3,54197800;1,98355100
0,27392000;3,54197800;1,93853600
0,27648000;3,54197800;1,98355100
0,27904000;3,54197800;1,98355100
0,28160000;3,54197800;1,98355100
0,28416000;3,54197800;1,98355100
0,28672000;3,45103300;1,98355100
0,28928000;3,54197800;1,98355100
0,29184000;3,54197800;1,98355100
0,29440000;3,54197800;1,98355100
0,29696000;3,54197800;1,98355100
0,29952000;3,54197800;1,98355100
0,30208000;3,54197800;1,98355100
0,30464000;3,54197800;1,98355100
0,30720000;3,54197800;1,98355100
0,30976000;3,54197800;1,98355100
0,31232000;3,54197800;1,98355100
0,31488000;3,45103300;1,98355100
0,31744000;3,54197800;1,98355100
0,32000000;3,54197800;1,98355100
