Frequenz;Kanal B;Invertieren A
(ms);(V);(mV)

0,00000000;1,03152600;-194,89120000
0,00256000;1,03152600;-194,89120000
0,00512000;1,03152600;-185,82720000
0,00768000;1,03152600;-181,29520000
0,01024000;1,03152600;-172,23120000
0,01280000;1,03152600;-167,69920000
0,01536000;1,03152600;-163,16720000
0,01792000;1,03152600;-149,55590000
0,02048000;1,03152600;-135,95990000
0,02304000;1,03152600;-131,42790000
0,02560000;1,03152600;-117,83200000
0,02816000;1,03152600;-108,76800000
0,03072000;1,03152600;-99,70396000
0,03328000;1,03152600;-86,09271000
0,03584000;1,21280600;-77,02872000
0,03840000;1,03152600;-63,43272000
0,04096000;1,21280600;-54,36872000
0,04352000;1,03152600;-40,77273000
0,04608000;1,03152600;-27,17673000
0,04864000;1,21280600;-18,11273000
0,05120000;1,21280600;-4,51673900
0,05376000;1,21280600;9,07925600
0,05632000;1,03152600;18,14325000
0,05888000;1,21280600;36,28650000
0,06144000;1,03152600;45,35051000
0,06400000;1,21280600;54,41450000
0,06656000;1,21280600;72,54249000
0,06912000;1,21280600;81,62175000
0,07168000;1,21280600;90,68575000
0,07424000;1,03152600;108,81370000
0,07680000;1,21280600;117,87770000
0,07936000;1,21280600;126,94170000
0,08192000;1,21280600;136,00570000
0,08448000;1,21280600;154,14900000
0,08704000;1,21280600;158,68100000
0,08960000;1,21280600;167,74500000
0,09216000;1,21280600;181,34100000
0,09472000;1,21280600;190,40500000
0,09728000;1,21280600;199,48420000
0,09984000;1,21280600;208,54820000
0,10240000;1,21280600;213,08020000
0,10496000;1,03152600;222,14420000
0,10752000;1,21280600;231,20820000
0,11008000;1,21280600;235,74020000
0,11264000;1,21280600;244,80420000
0,11520000;1,21280600;244,80420000
0,11776000;1,21280600;253,88350000
0,12032000;1,21280600;253,88350000
0,12288000;1,21280600;258,41550000
0,12544000;1,21280600;262,94740000
0,12800000;1,21280600;262,94740000
0,13056000;1,21280600;262,94740000
0,13312000;1,21280600;267,47950000
0,13568000;1,21280600;267,47950000
0,13824000;1,21280600;267,47950000
0,14080000;1,03152600;262,94740000
0,14336000;1,21280600;267,47950000
0,14592000;1,21280600;262,94740000
0,14848000;1,21280600;253,88350000
0,15104000;1,21280600;253,88350000
0,15360000;1,21280600;249,33620000
0,15616000;1,21280600;249,33620000
0,15872000;1,21280600;244,80420000
0,16128000;1,21280600;235,74020000
0,16384000;1,21280600;231,20820000
0,16640000;1,21280600;217,61220000
0,16896000;1,21280600;217,61220000
0,17152000;1,21280600;208,54820000
0,17408000;1,21280600;199,48420000
0,17664000;1,21280600;185,87300000
0,17920000;1,21280600;181,34100000
0,18176000;1,21280600;167,74500000
0,18432000;1,21280600;158,68100000
0,18688000;1,03152600;145,08500000
0,18944000;1,21280600;131,47370000
0,19200000;1,21280600;122,40970000
0,19456000;1,21280600;108,81370000
0,19712000;1,21280600;99,74975000
0,19968000;1,03152600;86,15375000
0,20224000;1,03152600;72,54249000
0,20480000;1,03152600;54,41450000
0,20736000;1,03152600;45,35051000
0,20992000;1,21280600;31,75451000
0,21248000;1,21280600;18,14325000
0,21504000;1,21280600;0,01525925
0,21760000;1,21280600;-9,04873700
0,22016000;1,21280600;-22,64473000
0,22272000;1,21280600;-40,77273000
0,22528000;1,03152600;-54,36872000
0,22784000;1,03152600;-67,96471000
0,23040000;1,03152600;-81,56071000
0,23296000;1,21280600;-95,17197000
0,23552000;1,03152600;-108,76800000
0,23808000;1,03152600;-126,89600000
0,24064000;1,03152600;-135,95990000
0,24320000;1,03152600;-149,55590000
0,24576000;1,03152600;-167,69920000
0,24832000;1,03152600;-181,29520000
0,25088000;1,03152600;-190,35920000
0,25344000;1,03152600;-203,95520000
0,25600000;1,03152600;-213,03440000
0,25856000;1,03152600;-226,63040000
0,26112000;1,03152600;-235,69440000
0,26368000;0,85024570;-244,75840000
0,26624000;-0,59877320;-249,29040000
0,26880000;-5,30839000;-249,29040000
0,27136000;-10,74252000;-244,75840000
0,27392000;-15,63280000;-244,75840000
0,27648000;-18,89340000;-240,22640000
0,27904000;-∞;-226,63040000
0,28160000;-19,79919000;-226,63040000
0,28416000;-17,08243000;-217,56650000
0,28672000;-12,91604000;-217,56650000
0,28928000;-8,20642800;-213,03440000
0,29184000;-3,13486100;-217,56650000
0,29440000;0,66896570;-217,56650000
0,29696000;0,85024570;-213,03440000
0,29952000;0,85024570;-217,56650000
0,30208000;0,85024570;-217,56650000
0,30464000;1,03152600;-222,09840000
0,30720000;0,85024570;-222,09840000
0,30976000;1,03152600;-222,09840000
0,31232000;1,03152600;-226,63040000
0,31488000;0,85024570;-217,56650000
0,31744000;1,03152600;-217,56650000
0,32000000;1,03152600;-217,56650000
0,32256000;1,03152600;-217,56650000
0,32512000;1,03152600;-213,03440000
0,32768000;1,03152600;-208,48720000
0,33024000;1,03152600;-203,95520000
0,33280000;1,03152600;-199,42320000
0,33536000;1,03152600;-190,35920000
0,33792000;1,21280600;-190,35920000
0,34048000;1,03152600;-181,29520000
0,34304000;1,03152600;-172,23120000
0,34560000;1,03152600;-167,69920000
0,34816000;1,03152600;-158,63520000
0,35072000;1,03152600;-149,55590000
0,35328000;1,21280600;-140,49200000
0,35584000;1,03152600;-126,89600000
0,35840000;1,03152600;-122,36400000
0,36096000;1,03152600;-113,30000000
0,36352000;1,03152600;-99,70396000
0,36608000;1,03152600;-90,62471000
0,36864000;1,03152600;-77,02872000
0,37120000;1,03152600;-63,43272000
0,37376000;1,03152600;-54,36872000
0,37632000;1,21280600;-45,30473000
0,37888000;1,03152600;-31,70873000
0,38144000;1,21280600;-18,11273000
0,38400000;1,21280600;-4,51673900
0,38656000;1,03152600;4,54725700
0,38912000;1,03152600;18,14325000
0,39168000;1,03152600;27,22251000
0,39424000;1,21280600;40,81850000
0,39680000;1,03152600;54,41450000
0,39936000;1,21280600;68,01050000
0,40192000;1,03152600;81,62175000
0,40448000;1,21280600;90,68575000
0,40704000;1,03152600;104,28170000
0,40960000;1,03152600;113,34570000
0,41216000;1,21280600;122,40970000
0,41472000;1,21280600;136,00570000
0,41728000;1,21280600;145,08500000
0,41984000;1,21280600;163,21300000
0,42240000;1,21280600;167,74500000
0,42496000;1,21280600;176,80900000
0,42752000;1,21280600;185,87300000
0,43008000;1,21280600;199,48420000
0,43264000;1,21280600;208,54820000
0,43520000;1,21280600;213,08020000
0,43776000;1,21280600;217,61220000
0,44032000;1,21280600;226,67620000
0,44288000;1,03152600;235,74020000
0,44544000;1,21280600;235,74020000
0,44800000;1,21280600;244,80420000
0,45056000;1,21280600;249,33620000
0,45312000;1,21280600;253,88350000
0,45568000;1,21280600;253,88350000
0,45824000;1,21280600;262,94740000
0,46080000;1,21280600;267,47950000
0,46336000;1,21280600;267,47950000
0,46592000;1,21280600;267,47950000
0,46848000;1,21280600;267,47950000
0,47104000;1,21280600;267,47950000
0,47360000;1,21280600;262,94740000
0,47616000;1,21280600;262,94740000
0,47872000;1,21280600;262,94740000
0,48128000;1,21280600;262,94740000
0,48384000;1,21280600;253,88350000
0,48640000;1,21280600;253,88350000
0,48896000;1,21280600;249,33620000
0,49152000;1,21280600;240,27220000
0,49408000;1,21280600;235,74020000
0,49664000;1,21280600;231,20820000
0,49920000;1,21280600;226,67620000
0,50176000;1,21280600;217,61220000
0,50432000;1,21280600;213,08020000
0,50688000;1,21280600;199,48420000
0,50944000;1,03152600;190,40500000
0,51200000;1,21280600;181,34100000
0,51456000;1,21280600;172,27700000
0,51712000;1,21280600;158,68100000
0,51968000;1,21280600;145,08500000
0,52224000;1,21280600;136,00570000
0,52480000;1,21280600;126,94170000
