Frequenz;Kanal B;Invertieren A
(ms);(V);(mV)

0,00000000;-1,46061600;121,25610000
0,00256000;-0,27802360;123,06280000
0,00512000;0,99520860;124,87560000
0,00768000;2,08655000;121,25610000
0,01024000;3,26914300;112,20440000
0,01280000;4,26953900;104,96540000
0,01536000;5,17929600;92,29408000
0,01792000;5,90685700;77,80999000
0,02048000;6,63472400;61,51921000
0,02304000;7,08945000;43,42173000
0,02560000;7,36228500;23,50535000
0,02816000;7,36228500;3,59508000
0,03072000;7,36228500;-16,30909000
0,03328000;7,08945000;-32,59987000
0,03584000;6,54377900;-52,51015000
0,03840000;5,90685700;-72,42652000
0,04096000;5,17929600;-86,90450000
0,04352000;4,26953900;-99,57579000
0,04608000;3,26914300;-110,43430000
0,04864000;2,08655000;-117,67940000
0,05120000;0,90426340;-121,29890000
0,05376000;-0,27802360;-123,10560000
0,05632000;-1,46061600;-123,10560000
0,05888000;-2,73384800;-117,67940000
0,06144000;-3,73455000;-108,62760000
0,06400000;-4,73494700;-99,57579000
0,06656000;-5,55375800;-83,28501000
0,06912000;-6,28132000;-68,80093000
0,07168000;-6,82699100;-52,51015000
0,07424000;-7,19107600;-34,41267000
0,07680000;-7,37296700;-14,50239000
0,07936000;-7,37296700;7,21457600
0,08192000;-7,19107600;27,12485000
0,08448000;-6,82699100;43,42173000
0,08704000;-6,28132000;59,71251000
0,08960000;-5,64470300;79,62280000
0,09216000;-4,73494700;94,10077000
0,09472000;-3,82549500;104,96540000
0,09728000;-2,73384800;115,82380000
0,09984000;-1,55156100;121,25610000
0,10240000;-0,36896880;124,87560000
0,10496000;0,81331830;123,06280000
0,10752000;1,99560500;121,25610000
0,11008000;3,17819800;114,01100000
0,11264000;4,17859400;106,77210000
0,11520000;5,08835100;94,10077000
0,11776000;5,90685700;79,62280000
0,12032000;6,54377900;61,51921000
0,12288000;7,08945000;45,22843000
0,12544000;7,36228500;27,12485000
0,12800000;7,45323000;5,40788000
0,13056000;7,36228500;-14,50239000
0,13312000;7,08945000;-34,41267000
0,13568000;6,63472400;-52,51015000
0,13824000;5,99780300;-70,61372000
0,14080000;5,17929600;-85,09171000
0,14336000;4,36048500;-97,76299000
0,14592000;3,26914300;-110,43430000
0,14848000;2,17749600;-119,48610000
0,15104000;0,99520860;-121,29890000
0,15360000;-0,27802360;-124,91840000
0,15616000;-1,36967100;-123,10560000
0,15872000;-2,55195800;-117,67940000
0,16128000;-3,73455000;-108,62760000
0,16384000;-4,64400100;-99,57579000
0,16640000;-5,46281300;-86,90450000
0,16896000;-6,28132000;-72,42652000
0,17152000;-6,82699100;-50,70345000
0,17408000;-7,19107600;-32,59987000
0,17664000;-7,46391200;-16,30909000
0,17920000;-7,46391200;3,59508000
0,18176000;-7,19107600;25,31816000
0,18432000;-6,91793600;43,42173000
0,18688000;-6,46321000;63,33201000
0,18944000;-5,73564900;79,62280000
0,19200000;-4,82589200;90,48128000
0,19456000;-3,82549500;104,96540000
0,19712000;-2,82479300;114,01100000
0,19968000;-1,64250600;119,44330000
0,20224000;-0,45991390;123,06280000
0,20480000;0,81331830;123,06280000
0,20736000;1,99560500;121,25610000
0,20992000;2,99630700;115,82380000
0,21248000;4,17859400;106,77210000
0,21504000;5,08835100;94,10077000
0,21760000;5,90685700;79,62280000
0,22016000;6,54377900;63,33201000
0,22272000;6,99850500;45,22843000
0,22528000;7,36228500;30,75045000
0,22784000;7,36228500;7,21457600
0,23040000;7,36228500;-12,69570000
0,23296000;7,08945000;-30,79317000
0,23552000;6,63472400;-50,70345000
0,23808000;5,99780300;-70,61372000
0,24064000;5,27024100;-83,28501000
0,24320000;4,36048500;-97,76299000
0,24576000;3,36008800;-108,62760000
0,24832000;2,26844100;-115,86660000
0,25088000;1,08615400;-123,10560000
0,25344000;-0,18707850;-123,10560000
0,25600000;-1,36967100;-123,10560000
0,25856000;-2,55195800;-117,67940000
0,26112000;-3,64360500;-110,43430000
0,26368000;-4,55305600;-101,38860000
0,26624000;-5,46281300;-85,09171000
0,26880000;-6,28132000;-72,42652000
0,27136000;-6,82699100;-57,94244000
0,27392000;-7,19107600;-36,21937000
0,27648000;-7,37296700;-16,30909000
0,27904000;-7,37296700;5,40788000
0,28160000;-7,28202200;21,69866000
0,28416000;-6,91793600;43,42173000
0,28672000;-6,46321000;61,51921000
0,28928000;-5,73564900;79,62280000
0,29184000;-4,82589200;94,10077000
0,29440000;-3,91644000;104,96540000
0,29696000;-2,91573800;114,01100000
0,29952000;-1,64250600;119,44330000
0,30208000;-0,45991390;123,06280000
0,30464000;0,72237310;126,68230000
0,30720000;1,90466000;121,25610000
0,30976000;2,99630700;114,01100000
0,31232000;4,08764900;104,96540000
0,31488000;4,99740600;94,10077000
0,31744000;5,81591200;79,62280000
0,32000000;6,54377900;63,33201000
0,32256000;6,99850500;47,04123000
0,32512000;7,27134000;28,93765000
0,32768000;7,45323000;7,21457600
0,33024000;7,36228500;-10,88290000
0,33280000;7,08945000;-32,59987000
0,33536000;6,63472400;-48,89065000
0,33792000;6,08874800;-68,80093000
0,34048000;5,36118700;-83,28501000
0,34304000;4,45143000;-97,76299000
0,34560000;3,45103300;-108,62760000
0,34816000;2,26844100;-115,86660000
0,35072000;1,17709900;-123,10560000
0,35328000;-0,09613331;-123,10560000
0,35584000;-1,27872600;-123,10560000
0,35840000;-2,46101300;-117,67940000
0,36096000;-3,55266000;-110,43430000
0,36352000;-4,55305600;-101,38860000
0,36608000;-5,46281300;-86,90450000
0,36864000;-6,19037400;-72,42652000
0,37120000;-6,73604500;-56,12964000
0,37376000;-7,19107600;-36,21937000
0,37632000;-7,37296700;-18,12189000
0,37888000;-7,46391200;-0,02441481
0,38144000;-7,28202200;21,69866000
0,38400000;-6,91793600;41,60894000
0,38656000;-6,46321000;57,89972000
0,38912000;-5,73564900;77,80999000
0,39168000;-4,91683700;90,48128000
0,39424000;-3,91644000;106,77210000
0,39680000;-2,91573800;114,01100000
0,39936000;-1,73345100;119,44330000
0,40192000;-0,64180430;121,25610000
0,40448000;0,63142790;123,06280000
0,40704000;1,81371500;121,25610000
0,40960000;2,99630700;115,82380000
0,41216000;4,08764900;106,77210000
0,41472000;4,99740600;95,91357000
0,41728000;5,72496700;81,42948000
0,41984000;6,45252800;65,13871000
0,42240000;6,99850500;48,84793000
0,42496000;7,27134000;28,93765000
0,42752000;7,45323000;7,21457600
0,43008000;7,36228500;-9,07620400
0,43264000;7,18039500;-28,98038000
0,43520000;6,72566900;-48,89065000
0,43776000;6,17969300;-68,80093000
0,44032000;5,36118700;-83,28501000
0,44288000;4,45143000;-97,76299000
0,44544000;3,45103300;-108,62760000
0,44800000;2,35938600;-115,86660000
0,45056000;1,26804400;-121,29890000
0,45312000;-0,00518815;-124,91840000
0,45568000;-1,18747500;-123,10560000
0,45824000;-2,37006700;-117,67940000
0,46080000;-3,46171500;-112,24710000
0,46336000;-4,46211100;-101,38860000
0,46592000;-5,37186800;-88,71731000
0,46848000;-6,09942900;-76,04602000
0,47104000;-6,73604500;-56,12964000
0,47360000;-7,19107600;-38,03217000
0,47616000;-7,37296700;-18,12189000
0,47872000;-7,37296700;-0,02441481
0,48128000;-7,28202200;19,88586000
0,48384000;-7,00888100;39,79613000
0,48640000;-6,46321000;57,89972000
0,48896000;-5,82659400;76,00330000
0,49152000;-5,00778200;90,48128000
0,49408000;-4,00738500;101,34590000
0,49664000;-3,00668400;112,20440000
0,49920000;-1,82439600;119,44330000
0,50176000;-0,64180430;123,06280000
0,50432000;0,54048280;126,68230000
0,50688000;1,81371500;121,25610000
0,50944000;2,90536200;115,82380000
