Frequenz;Kanal A;Kanal B
(s);(V);(V)

0,00000000;0,00213630;1,58696200
0,00333400;0,13626510;1,58696200
0,00666800;0,00213630;1,14291800
0,01000200;-0,04257332;2,03100700
0,01333600;0,00213630;2,03100700
0,01667000;0,00213630;1,58696200
0,02000400;0,04684591;1,58696200
0,02333800;0,09155553;1,58696200
0,02667200;0,00213630;1,58696200
0,03000600;0,00213630;2,03100700
0,03334000;-0,04257332;1,58696200
0,03667400;0,00213630;2,03100700
0,04000800;0,04684591;1,58696200
0,04334200;0,13626510;2,03100700
0,04667600;0,04684591;2,03100700
0,05001000;-0,04257332;2,03100700
0,05334400;0,00213630;1,58696200
0,05667800;-0,04257332;2,03100700
0,06001200;0,04684591;1,58696200
0,06334600;0,09155553;2,03100700
0,06668000;0,00213630;1,58696200
0,07001400;-0,04257332;2,03100700
0,07334800;0,00213630;2,03100700
0,07668200;0,00213630;1,58696200
0,08001600;0,04684591;2,03100700
0,08335000;0,13626510;2,03100700
0,08668400;0,00213630;2,03100700
0,09001800;-0,04257332;2,03100700
0,09335200;0,00213630;2,03100700
0,09668600;0,00213630;2,03100700
0,10002000;0,04684591;2,03100700
0,10335400;0,09155553;2,03100700
0,10668800;0,04684591;2,03100700
0,11002200;0,00213630;2,03100700
0,11335600;0,00213630;1,14291800
0,11669000;0,00213630;2,03100700
0,12002400;0,00213630;2,03100700
0,12335800;0,13626510;2,03100700
0,12669200;0,00213630;2,03100700
0,13002600;0,00213630;2,03100700
0,13336000;-0,04257332;2,03100700
0,13669400;0,00213630;2,03100700
0,14002800;0,00213630;2,03100700
0,14336200;0,09155553;2,03100700
0,14669600;0,00213630;2,03100700
0,15003000;-0,04257332;2,03100700
0,15336400;0,00213630;2,03100700
0,15669800;0,00213630;2,03100700
0,16003200;0,00213630;2,03100700
0,16336600;0,09155553;2,03100700
0,16670000;0,00213630;2,03100700
0,17003400;-0,04257332;2,03100700
0,17336800;-0,04257332;2,03100700
0,17670200;0,00213630;2,03100700
0,18003600;0,04684591;2,03100700
0,18337000;0,09155553;2,03100700
0,18670400;0,00213630;2,03100700
0,19003800;-0,04257332;2,03100700
0,19337200;0,00213630;2,03100700
0,19670600;-0,04257332;2,03100700
0,20004000;0,04684591;2,03100700
0,20337400;0,09155553;2,03100700
0,20670800;0,00213630;2,47352500
0,21004200;-0,04257332;2,03100700
0,21337600;0,00213630;2,47352500
0,21671000;0,00213630;2,47352500
0,22004400;0,04684591;2,47352500
0,22337800;0,09155553;2,03100700
0,22671200;0,00213630;2,03100700
0,23004600;0,00213630;2,47352500
0,23338000;0,00213630;2,47352500
0,23671400;0,00213630;2,47352500
0,24004800;0,00213630;2,47352500
0,24338200;0,09155553;2,47352500
0,24671600;0,00213630;2,03100700
0,25005000;-0,04257332;2,47352500
0,25338400;-0,04257332;2,47352500
0,25671800;-0,04257332;2,47352500
0,26005200;0,00213630;2,47352500
0,26338600;0,09155553;2,47352500
0,26672000;0,04684591;2,03100700
0,27005400;-0,04257332;2,47352500
0,27338800;0,00213630;2,47352500
0,27672200;-0,04257332;2,47352500
0,28005600;0,00213630;2,47352500
